albumSlug,slug,title,cover,youtubeVideoId,spotify,appleMusic,youtubeMusic,deezer,amazonMusic,tidal
donemsel,iliskilenisler,İlişkilenişler,/covers/iliskilenisler.png,nQ95YcHs0AA,https://open.spotify.com/intl-tr/track/603JL5WLjU8odNbVUQ7tHP?si=d6d30d23cd8d48dc,https://music.apple.com/tr/song/i-lişkilenişler/6766346255,,,,
donemsel,seyredisler,Seyredişler,/covers/seyredisler.png,Q6O2xRt2MCI,https://open.spotify.com/intl-tr/track/6eF6fCOT336cYBc0VjdcU8?si=787b7b9d201f4b40,https://music.apple.com/tr/song/seyredi%C5%9Fler/6766346256,,,,
donemsel,gerilisler,Gerilişler,/covers/gerilisler.png,-EG5T5rLDfE,https://open.spotify.com/intl-tr/track/1c5RbQSDk4V5d0C4yuUBE3?si=ab11e7cc2d96490c,https://music.apple.com/tr/song/gerili%C5%9Fler/6766346257,,,,
donemsel,bekleyisler,Bekleyişler,/covers/bekleyisler.png,7z4QXFUY9ao,https://open.spotify.com/intl-tr/track/4A8PdcNZDpDtZ956BsMxev?si=a1a12b965fed4a06,https://music.apple.com/tr/song/bekleyi%C5%9Fler/6766346258,,,,
donemsel,uzulusler,Üzülüşler,/covers/uzulusler.png,0GTwQfBXdhg,https://open.spotify.com/intl-tr/track/7bqK0NMHaNAFHAp9UsxMzG?si=0198ef95e152483f,https://music.apple.com/tr/song/%C3%BCz%C3%BCl%C3%BC%C5%9Fler/6766346259,,,,
donemsel,buzulusler,Büzülüşler,/covers/buzulusler.png,WceAlK5BXPg,https://open.spotify.com/intl-tr/track/5TK8yMDqpRIt18sH3mqnDn?si=3a61f2067d38435f,https://music.apple.com/tr/song/b%C3%BCz%C3%BCl%C3%BC%C5%9Fler/6766346260,,,,
donemsel,serzenisler,Serzenişler,/covers/serzenisler.png,ufNnKhY07GI,https://open.spotify.com/intl-tr/track/6tZgTWdOuaMoksZOiaM5PX?si=97fde453dfe84f2e,https://music.apple.com/tr/song/serzeni%C5%9Fler/6766346261,,,,
donemsel,suzulusler,Süzülüşler,/covers/suzulusler.png,EkkjQaXeYrQ ,https://open.spotify.com/intl-tr/track/61L9GFK3YW75uPIi0AyCyU?si=6b88f771faf8413b,https://music.apple.com/tr/song/s%C3%BCz%C3%BCl%C3%BC%C5%9Fler/6766346262,,,,
donemsel,sakinlesisler,Sakinleşişler,/covers/sakinlesisler.png,ZIIpOVYzQEg,https://open.spotify.com/track/5NoWx0oRPSfeTaMLi2KD6t?context=spotify:playlist:4tu53PAfAmx2zz8jOqgpK7&si=Aw0Ho2uAT2K8KX7egoS5pQ,https://music.apple.com/tr/song/sakinle%C5%9Fi%C5%9Fler/6766346263,https://music.youtube.com/watch?v=zcYHeYzc9Vc,https://link.deezer.com/s/33rSorJXyEwlGw94IkFOU,https://music.amazon.com/tracks/B0GZJ9CB8T,https://tidal.com/track/521536338
donemsel,gidisler,Gidişler,/covers/gidisler.png,V1Je71KTjto ,https://open.spotify.com/intl-tr/track/5JVKkwfgXT9vaawEKcp2Gi?si=808b7bb2f2a5479e,https://music.apple.com/tr/song/gidi%C5%9Fler/6766346264,,,,
konusal,libido,Libido,/covers/libido.png,P0WEKGd2KXQ,https://open.spotify.com/intl-tr/track/1a52EDTq7qahSX5OUQHNsH?si=52ba67a976914e10,https://music.apple.com/tr/song/libido/6781221002,https://music.youtube.com/watch?v=5LeX-ZubW84&si=Ou3iFJCcwctRn8Xe,,,
konusal,yargi,Yargı,/covers/yargi.png,yje5104CiGM,https://open.spotify.com/intl-tr/track/5v8eR2cnry8RUN8xTSsEa7?si=5224161302dd4caa,https://music.apple.com/tr/song/yarg%C4%B1/6781221003,https://music.youtube.com/watch?v=zYgLmkx7OlQ&si=iTll_EoTjkkKdmkw,,,
konusal,dopamin,Dopamin,/covers/dopamin.png,dOLB6rBYFyw,https://open.spotify.com/intl-tr/track/6jgaeQjlXRBi57WQzUtTKE?si=b6a40600e978409b,https://music.apple.com/tr/song/dopamin/6781221004,https://music.youtube.com/watch?v=WyGHLeiNym4&si=lU7D0EwUuqo-ngqS,,,
konusal,degisim,Değişim,/covers/degisim.png,h8klubM7yJ4,https://open.spotify.com/intl-tr/track/5Z6eGm9mEQsvtu2NAvl9Rv?si=e0dcd9b75d8d4cad,https://music.apple.com/tr/song/de%C4%9Fi%C5%9Fim/6781221005,https://music.youtube.com/watch?v=bHF8DMxfiCQ&si=HhESzLdBBvSbin3b,,,
konusal,ozguven,Özgüven,/covers/ozguven.png,HKymCfsxQXk,https://open.spotify.com/intl-tr/track/5v2LBq0lUcW7YECaNLsjXp?si=ef782934af114271,https://music.apple.com/tr/song/%C3%B6zg%C3%BCven/6781221006,https://music.youtube.com/watch?v=9Jd0TJew-fM&si=pOmy-1_SKwjqXh_0,,,
konusal,iletisim,İletişim,/covers/iletisim.png,NPllVXAXjOc,https://open.spotify.com/intl-tr/track/5a0lr9wSETCGUDcNARIB6m?si=2d19e06f27924696,https://music.apple.com/tr/song/i-leti%C5%9Fim/6781221007,https://music.youtube.com/watch?v=qk3XL4IRAxk&si=GwZNfxAgEAzLe88u,,,
konusal,anlam,Anlam,/covers/anlam.png,5JId9iyfh_E,https://open.spotify.com/intl-tr/track/01u5TqKJVCqcfI6jA7lOJb?si=8df1fc0a4de6425d,https://music.apple.com/tr/song/anlam/6781221009,https://music.youtube.com/watch?v=Irqh5pAoalM&si=kRp2YkbG3q3EMxEF,,,
konusal,kaygi,Kaygı,/covers/kaygi.png,KKVwxC4kxFc,https://open.spotify.com/intl-tr/track/1rWXcFcBNBIDjVwqCDPzm3?si=2afbe559f003403c,https://music.apple.com/tr/song/kayg%C4%B1/6781221010,https://music.youtube.com/watch?v=-VAmapk4yCw&si=9OxJ39PjUp0Ab0Mc,,,
konusal,fomo,Fomo,/covers/fomo.png,DR-4AXzxC2I,https://open.spotify.com/intl-tr/track/0gu4U1xAxdDwPjhTiBHOs8?si=61994a0f122d4f69,https://music.apple.com/tr/song/fomo/6781221011,https://music.youtube.com/watch?v=2-D59-D4rkU&si=l8tH77nJ5cfLjTfl,,,
